weather_uuid,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,wind_speed_100m,city
5b7d3b0f-4de8-344e-6e00-12819a0c1b76,2023-01-01 23:00:00,9.1205,64.47859,2.7705,4.693075,0.0,0.0,0.0,0.0,0,1011.3,1000.1138,14.0,3.0,2.0,10.0,0.050401375,0.41192752,18.998314,9.5705,0.323,13.0705,0.256,31.700449,Los Angeles
d516cdfe-7c85-6031-1a5c-e488b6ee3d81,2023-01-01 23:00:00,6.8195,90.79179,5.4195,4.6564445,0.0,0.0,0.0,0.0,3,1018.0,1011.0721,90.0,2.0,0.0,90.0,0.0,0.09132159,7.10031,8.0195,0.471,9.169499,0.481,16.62249,Washington D.C.
800a4c94-16f5-c1ee-1e9d-19e796d2f9e0,2023-01-02 00:00:00,8.6705,66.702805,2.8205,4.4832373,0.0,0.0,0.0,0.0,1,1011.6,1000.3929,23.0,3.0,0.0,21.0,0.04220663,0.374587,17.414474,9.2705,0.321,12.8705,0.256,32.06426,Los Angeles
e5cf2e29-a836-6dad-ad61-61d804b6c976,2023-01-02 00:00:00,6.9694996,90.48816,5.5195,4.8984575,0.0,0.0,0.0,0.0,1,1018.6,1011.67145,35.0,14.0,0.0,24.0,0.0,0.09530783,6.6185193,7.6695,0.471,9.0195,0.481,17.58481,Washington D.C.
32f9e2b0-8677-a5f2-adb9-ce1be14cd8df,2023-01-02 01:00:00,7.4205,72.10264,2.7205,3.9997387,0.0,0.0,0.0,0.0,1,1011.8,1000.54114,41.0,0.0,0.0,41.0,0.02083599,0.28829086,12.031756,8.8705,0.32,12.6205,0.256,24.985659,Los Angeles
f7a3aa88-8f36-2a45-ce86-3c2af2bf2cc3,2023-01-02 01:00:00,6.9694996,88.00913,5.1194997,4.661355,0.0,0.0,0.0,0.0,3,1018.8,1011.8701,99.0,3.0,0.0,99.0,0.0,0.120147824,7.653705,7.4195,0.471,8.919499,0.48,21.889065,Washington D.C.
44941663-a9a9-67c1-9bb3-8b9c1de83405,2023-01-02 02:00:00,6.0705,77.98992,2.5205,3.2603045,0.0,0.0,0.0,0.0,0,1011.6,1000.289,17.0,0.0,0.0,17.0,0.004094898,0.20732039,7.5942082,8.3205,0.319,12.4205,0.256,17.782686,Los Angeles
c201df05-02f0-a0b3-fd94-85dc75186b3c,2023-01-02 02:00:00,7.4195,89.58698,5.8195,5.3025093,0.0,0.0,0.0,0.0,2,1019.1,1012.1792,67.0,5.0,0.0,65.0,0.0,0.10759807,7.386582,7.2695,0.471,8.7695,0.48,21.166653,Washington D.C.
613b030a-323b-beaf-b810-9a544ff1a001,2023-01-02 03:00:00,5.1205,80.95919,2.1205,2.4475198,0.0,0.0,0.0,0.0,0,1012.2,1000.844,18.0,0.0,0.0,18.0,0.0,0.16792578,6.162207,7.7205,0.318,12.1705,0.257,15.7908325,Los Angeles
dca26a71-79d9-1d8b-318e-f7dd342c96b6,2023-01-02 03:00:00,7.4694996,92.09912,6.2695,5.467985,0.0,0.0,0.0,0.0,3,1019.5,1012.5777,85.0,0.0,43.0,83.0,0.0,0.08191866,7.289445,7.1695,0.471,8.6195,0.48,19.862083,Washington D.C.
98eb7bce-235a-e280-3905-67c27bd6aa42,2023-01-02 04:00:00,5.2705,86.31749,3.1705,2.9872837,0.0,0.0,0.0,0.0,1,1012.4,1001.048,32.0,0.0,0.0,60.0,0.0,0.12193489,4.802999,8.8205,0.315,12.0705,0.257,10.446206,Los Angeles
